Date,RY_15y,15s-20s
08/22/2022,-1.493,15.223
08/19/2022,-1.490,15.132
08/18/2022,-1.550,15.664
08/17/2022,-1.543,16.775
08/16/2022,-1.519,16.591
08/15/2022,-1.574,16.327
08/12/2022,-1.457,16.422
08/11/2022,-1.544,15.662
08/10/2022,-1.606,15.497
08/09/2022,-1.596,14.297
08/08/2022,-1.647,14.574
08/05/2022,-1.590,13.873
08/04/2022,-1.709,13.955
08/03/2022,-1.648,13.597
08/02/2022,-1.731,14.399
08/01/2022,-1.749,14.424
07/29/2022,-1.660,15.782
07/28/2022,-1.548,14.893
07/27/2022,-1.362,13.927
07/26/2022,-1.376,15.563
07/25/2022,-1.303,14.034
07/22/2022,-1.351,10.966
07/21/2022,-1.317,10.127
07/20/2022,-1.230,10.836
07/19/2022,-1.166,12.187
07/18/2022,-1.254,11.881
07/15/2022,-1.368,11.854
07/14/2022,-1.362,10.307
07/13/2022,-1.393,11.402
07/12/2022,-1.415,11.739
07/11/2022,-1.379,10.059
07/08/2022,-1.331,10.172
07/07/2022,-1.447,10.611
07/06/2022,-1.448,10.510
07/05/2022,-1.548,11.987
07/01/2022,-1.566,9.881
06/30/2022,-1.381,7.573
06/29/2022,-1.260,7.640
06/28/2022,-1.236,7.245
06/27/2022,-1.338,6.789
06/24/2022,-1.474,6.963
06/23/2022,-1.413,7.095
06/22/2022,-1.337,7.817
06/21/2022,-1.214,8.557
06/20/2022,-1.218,6.300
06/17/2022,-1.324,6.485
06/16/2022,-1.379,6.864
06/15/2022,-1.437,7.286
06/14/2022,-1.381,5.362
06/13/2022,-1.411,4.761
06/10/2022,-1.486,6.256
06/09/2022,-1.580,8.376
06/08/2022,-1.633,10.562
06/07/2022,-1.676,10.023
06/06/2022,-1.625,9.873
06/03/2022,-1.737,11.157
06/02/2022,-1.737,11.160
06/01/2022,-1.738,11.221
05/31/2022,-1.850,18.027
05/27/2022,-2.066,17.906
05/26/2022,-2.030,17.022
05/25/2022,-2.088,17.585
05/24/2022,-2.044,17.359
05/23/2022,-2.024,17.243
05/20/2022,-2.101,18.032
05/19/2022,-2.166,18.056
05/18/2022,-2.222,18.273
05/17/2022,-2.305,18.344
05/16/2022,-2.380,18.025
05/13/2022,-2.356,18.305
05/12/2022,-2.409,18.166
05/11/2022,-2.195,16.091
05/10/2022,-2.136,13.940
05/09/2022,-2.025,14.459
05/06/2022,-1.992,13.762
05/05/2022,-2.127,13.693
05/04/2022,-2.171,13.045
05/03/2022,-2.218,13.693
04/28/2022,-2.293,14.803
04/27/2022,-2.348,14.535
04/26/2022,-2.421,14.737
04/25/2022,-2.365,12.616
04/22/2022,-2.329,11.020
04/21/2022,-2.238,10.451
04/20/2022,-2.231,10.961
04/19/2022,-2.165,9.877
04/18/2022,-2.248,10.590
04/15/2022,-2.248,10.590
04/12/2022,-2.063,11.369
04/11/2022,-2.035,11.677
04/08/2022,-2.133,13.243
04/07/2022,-2.165,12.836
04/06/2022,-2.238,11.641
04/05/2022,-2.286,9.736
04/04/2022,-2.325,9.127
04/01/2022,-2.295,9.848
03/31/2022,-2.283,10.599
03/30/2022,-2.187,10.275
03/29/2022,-2.166,9.503
03/28/2022,-2.246,10.645
03/25/2022,-2.200,12.497
03/24/2022,-2.232,14.633
03/23/2022,-2.207,16.110
03/22/2022,-2.153,15.113
03/21/2022,-2.240,15.878
03/18/2022,-2.362,16.663
03/17/2022,-2.347,14.706
03/16/2022,-2.292,12.124
03/15/2022,-2.357,13.969
03/14/2022,-2.385,13.006
03/11/2022,-2.482,14.315
03/10/2022,-2.489,14.915
03/09/2022,-2.533,15.563
03/08/2022,-2.661,17.728
03/07/2022,-2.658,15.976
03/04/2022,-2.620,15.536
03/03/2022,-2.567,14.340
03/02/2022,-2.624,15.256
03/01/2022,-2.676,15.773
02/28/2022,-2.445,12.375
02/25/2022,-2.404,10.372
02/24/2022,-2.462,11.375
02/23/2022,-2.410,7.857
02/22/2022,-2.423,5.503
02/21/2022,-2.513,6.260
02/18/2022,-2.504,7.118
02/17/2022,-2.440,7.004
02/16/2022,-2.330,6.662
02/15/2022,-2.310,6.420
02/14/2022,-2.330,6.785
02/11/2022,-2.332,6.108
02/10/2022,-2.334,6.844
02/09/2022,-2.374,6.494
02/08/2022,-2.305,6.852
02/07/2022,-2.368,6.969
02/04/2022,-2.371,6.236
02/03/2022,-2.417,6.656
02/02/2022,-2.526,9.047
02/01/2022,-2.501,9.743
01/31/2022,-2.537,11.043
